step,loss,norm,lr,token_per_sec,time
0,7.2119,14.7751,6.594e-06,1915.9031638515612,17.103160858154297
1,7.0298,14.9628,1.2587999999999999e-05,1266.6453499739457,25.869909048080444
2,6.6526,10.3309,1.8582e-05,1592.6922111844372,20.5739688873291
3,6.5150,5.9519,2.4575999999999996e-05,1273.1781014922801,25.73716902732849
4,6.2333,4.1984,3.0569999999999994e-05,976.9401520370424,33.54146099090576
5,6.2655,2.8928,3.656399999999999e-05,1235.6799278711303,26.51819396018982
6,6.2211,2.4142,4.255799999999999e-05,1363.1165607624941,24.039030075073242
7,6.2403,2.3166,4.8551999999999985e-05,1162.3564862514525,28.191007137298584
8,6.0633,2.5988,5.4545999999999975e-05,1416.4042197789659,23.134638786315918
9,6.0284,1.7185,6.053999999999997e-05,1011.0063225744983,32.41127109527588
10,6.1572,2.4655,6.653399999999997e-05,1245.0961596970465,26.317646026611328
11,5.9694,1.5343,7.252799999999997e-05,969.7902222216703,33.788750648498535
12,5.9638,1.8506,7.852199999999996e-05,1127.3286516465932,29.06694507598877
13,5.8824,1.3881,8.451599999999996e-05,1461.2423924445538,22.424753189086914
14,5.8264,1.5873,9.050999999999997e-05,1340.9900716316024,24.43567681312561
15,5.7444,2.0695,9.650399999999997e-05,1078.7656186302484,30.375458240509033
16,5.6043,4.2027,0.00010249799999999997,1074.2543944131594,30.50301694869995
17,5.5178,1.2430,0.00010849199999999996,1183.806726025184,27.68019413948059
18,5.5141,2.1467,0.00011448599999999997,1577.3746727545254,20.77375817298889
19,5.5290,1.4311,0.00012047999999999996,1282.3612035383699,25.552862882614136
20,5.3035,1.5838,0.00012647399999999995,1306.6483750219675,25.07790207862854
21,5.3668,1.2317,0.00013246799999999995,1024.0679442662276,31.9978768825531
22,5.1608,1.7646,0.00013846199999999995,1256.8364179830812,26.071809768676758
23,5.1669,1.5644,0.00014445599999999995,1613.3832174937902,20.310115814208984
24,5.0541,1.2615,0.00015044999999999994,1483.96125691439,22.08143901824951
25,4.9241,1.3893,0.00015644399999999997,1334.8460033236986,24.548150062561035
26,4.8322,1.2360,0.00016243799999999997,1330.580839186028,24.62683892250061
27,4.6575,1.0656,0.000168432,1279.0977381342564,25.6180579662323
28,4.7231,1.0004,0.00017442599999999999,1144.5879554585335,28.628643035888672
29,4.4487,1.2235,0.00018041999999999998,1145.8330947997024,28.597533226013184
30,4.3968,0.9569,0.000186414,1381.8429051634416,23.71325993537903
31,4.4277,1.1266,0.000192408,1200.9114402854473,27.28594207763672
32,4.3619,1.1710,0.00019840200000000003,80.44951896865044,407.311322927475
33,4.2293,1.6951,0.00020439600000000005,33.76245492314686,970.5455386638641
34,4.0297,0.9983,0.00021039000000000008,1173.6041695372255,27.920827865600586
35,4.0768,0.9551,0.00021638400000000007,1177.8475750792704,27.82023811340332
36,4.0185,1.1426,0.00022237800000000007,1339.236805111293,24.46766686439514
37,3.8443,0.9658,0.00022837200000000004,1226.9833939156533,26.70614790916443
38,3.9568,1.3553,0.00023436600000000004,1230.182696697006,26.636693954467773
39,3.9126,1.0330,0.00024036000000000004,1593.2027392352857,20.567376136779785
40,3.7421,1.1361,0.00024635400000000006,1522.0579198390753,21.528747081756592
41,3.7925,1.3211,0.00025234800000000006,1538.212297767443,21.302651166915894
42,3.7696,1.4519,0.00025834200000000006,1320.4077281024602,24.816576957702637
43,3.7067,0.6328,0.00026433600000000005,1231.8124096025062,26.601453065872192
44,3.7182,0.6553,0.00027033000000000005,1451.7691191230842,22.57108211517334
45,3.7472,0.8577,0.00027632400000000005,1471.2944926471434,22.271543979644775
46,3.5941,0.8544,0.00028231800000000004,1366.8633663268656,23.973134994506836
47,3.5599,0.6809,0.00028831200000000004,1366.3853450158713,23.98152184486389
48,3.6117,1.6624,0.00029430600000000004,1536.5051137144299,21.3263201713562
49,3.5329,0.7673,0.00030030000000000004,1381.789640047794,23.714174032211304
50,3.5555,0.6888,0.00030629400000000003,1406.3981006932017,23.299235105514526
51,3.5617,1.3151,0.0003122880000000001,1322.6934882410653,24.773691177368164
52,3.4791,1.1932,0.0003182820000000001,1513.6323428866795,21.64858603477478
53,3.4704,0.7127,0.000324276,1298.0363742141562,25.244284868240356
54,3.4947,0.7053,0.0003302700000000001,1439.4548064462638,22.764174222946167
55,3.5276,0.8316,0.00033626400000000007,1424.7885073511052,22.99850106239319
56,3.4818,0.9749,0.00034225800000000007,1432.2073889604876,22.87936806678772
57,3.4639,1.8141,0.0003482520000000001,1347.3274127201341,24.320740222930908
58,3.4333,0.8268,0.00035424600000000017,1325.1968750185008,24.72689199447632
59,3.3870,0.8901,0.00036024000000000017,1466.6511150949887,22.342055082321167
60,3.3305,0.5499,0.00036623400000000017,31.005991015577067,1056.8280169963837
61,3.3631,0.6732,0.00037222800000000016,34.257376402360585,956.5239210128784
62,3.2925,0.6472,0.00037822200000000016,1111.4812493771929,29.48137903213501
63,3.3256,0.4797,0.0003842160000000001,33.50283006756981,978.0666270256042
64,3.4149,0.5465,0.0003902100000000001,865.5145432897693,37.85956025123596
65,3.3378,0.6449,0.00039620400000000004,1109.4645812803662,29.534967184066772
66,3.3170,0.7606,0.00040219800000000004,1001.0953458581678,32.732146978378296
67,3.3460,0.7320,0.00040819200000000004,1104.6213054781467,29.664464950561523
68,3.2395,1.4549,0.00041418600000000004,963.662451377937,34.003607749938965
